jobId,title,department,grade,minSalary,maxSalary,roleType,description
J0001,Job Title 1,IT,G6,50020,120040,Full-Time,Auto-generated description for Job 1
J0002,Job Title 2,HR,G7,50040,120080,Full-Time,Auto-generated description for Job 2
J0003,Job Title 3,Finance,G8,50060,120120,Full-Time,Auto-generated description for Job 3
J0004,Job Title 4,Operations,G9,50080,120160,Full-Time,Auto-generated description for Job 4
J0005,Job Title 5,Marketing,G5,50100,120200,Contract,Auto-generated description for Job 5
J0006,Job Title 6,Engineering,G6,50120,120240,Full-Time,Auto-generated description for Job 6
J0007,Job Title 7,IT,G7,50140,120280,Contract,Auto-generated description for Job 7
J0008,Job Title 8,HR,G8,50160,120320,Full-Time,Auto-generated description for Job 8
J0009,Job Title 9,Finance,G9,50180,120360,Full-Time,Auto-generated description for Job 9
J0010,Job Title 10,Operations,G5,50200,120400,Full-Time,Auto-generated description for Job 10
J0011,Job Title 11,Marketing,G6,50220,120440,Full-Time,Auto-generated description for Job 11
J0012,Job Title 12,Engineering,G7,50240,120480,Full-Time,Auto-generated description for Job 12
J0013,Job Title 13,IT,G8,50260,120520,Full-Time,Auto-generated description for Job 13
J0014,Job Title 14,HR,G9,50280,120560,Full-Time,Auto-generated description for Job 14
J0015,Job Title 15,Finance,G5,50300,120600,Full-Time,Auto-generated description for Job 15
J0016,Job Title 16,Operations,G6,50320,120640,Full-Time,Auto-generated description for Job 16
J0017,Job Title 17,Marketing,G7,50340,120680,Full-Time,Auto-generated description for Job 17
J0018,Job Title 18,Engineering,G8,50360,120720,Full-Time,Auto-generated description for Job 18
J0019,Job Title 19,IT,G9,50380,120760,Contract,Auto-generated description for Job 19
J0020,Job Title 20,HR,G5,50400,120800,Full-Time,Auto-generated description for Job 20
J0021,Job Title 21,Finance,G6,50420,120840,Contract,Auto-generated description for Job 21
J0022,Job Title 22,Operations,G7,50440,120880,Full-Time,Auto-generated description for Job 22
J0023,Job Title 23,Marketing,G8,50460,120920,Full-Time,Auto-generated description for Job 23
J0024,Job Title 24,Engineering,G9,50480,120960,Full-Time,Auto-generated description for Job 24
J0025,Job Title 25,IT,G5,50500,121000,Contract,Auto-generated description for Job 25
J0026,Job Title 26,HR,G6,50520,121040,Full-Time,Auto-generated description for Job 26
J0027,Job Title 27,Finance,G7,50540,121080,Full-Time,Auto-generated description for Job 27
J0028,Job Title 28,Operations,G8,50560,121120,Full-Time,Auto-generated description for Job 28
J0029,Job Title 29,Marketing,G9,50580,121160,Contract,Auto-generated description for Job 29
J0030,Job Title 30,Engineering,G5,50600,121200,Full-Time,Auto-generated description for Job 30
J0031,Job Title 31,IT,G6,50620,121240,Contract,Auto-generated description for Job 31
J0032,Job Title 32,HR,G7,50640,121280,Contract,Auto-generated description for Job 32
J0033,Job Title 33,Finance,G8,50660,121320,Full-Time,Auto-generated description for Job 33
J0034,Job Title 34,Operations,G9,50680,121360,Contract,Auto-generated description for Job 34
J0035,Job Title 35,Marketing,G5,50700,121400,Full-Time,Auto-generated description for Job 35
J0036,Job Title 36,Engineering,G6,50720,121440,Full-Time,Auto-generated description for Job 36
J0037,Job Title 37,IT,G7,50740,121480,Contract,Auto-generated description for Job 37
J0038,Job Title 38,HR,G8,50760,121520,Full-Time,Auto-generated description for Job 38
J0039,Job Title 39,Finance,G9,50780,121560,Contract,Auto-generated description for Job 39
J0040,Job Title 40,Operations,G5,50800,121600,Full-Time,Auto-generated description for Job 40
J0041,Job Title 41,Marketing,G6,50820,121640,Contract,Auto-generated description for Job 41
J0042,Job Title 42,Engineering,G7,50840,121680,Full-Time,Auto-generated description for Job 42
J0043,Job Title 43,IT,G8,50860,121720,Full-Time,Auto-generated description for Job 43
J0044,Job Title 44,HR,G9,50880,121760,Full-Time,Auto-generated description for Job 44
J0045,Job Title 45,Finance,G5,50900,121800,Full-Time,Auto-generated description for Job 45
J0046,Job Title 46,Operations,G6,50920,121840,Full-Time,Auto-generated description for Job 46
J0047,Job Title 47,Marketing,G7,50940,121880,Full-Time,Auto-generated description for Job 47
J0048,Job Title 48,Engineering,G8,50960,121920,Full-Time,Auto-generated description for Job 48
J0049,Job Title 49,IT,G9,50980,121960,Full-Time,Auto-generated description for Job 49
J0050,Job Title 50,HR,G5,51000,122000,Full-Time,Auto-generated description for Job 50
J0051,Job Title 51,Finance,G6,51020,122040,Full-Time,Auto-generated description for Job 51
J0052,Job Title 52,Operations,G7,51040,122080,Full-Time,Auto-generated description for Job 52
J0053,Job Title 53,Marketing,G8,51060,122120,Full-Time,Auto-generated description for Job 53
J0054,Job Title 54,Engineering,G9,51080,122160,Contract,Auto-generated description for Job 54
J0055,Job Title 55,IT,G5,51100,122200,Full-Time,Auto-generated description for Job 55
J0056,Job Title 56,HR,G6,51120,122240,Full-Time,Auto-generated description for Job 56
J0057,Job Title 57,Finance,G7,51140,122280,Full-Time,Auto-generated description for Job 57
J0058,Job Title 58,Operations,G8,51160,122320,Contract,Auto-generated description for Job 58
J0059,Job Title 59,Marketing,G9,51180,122360,Full-Time,Auto-generated description for Job 59
J0060,Job Title 60,Engineering,G5,51200,122400,Full-Time,Auto-generated description for Job 60
J0061,Job Title 61,IT,G6,51220,122440,Contract,Auto-generated description for Job 61
J0062,Job Title 62,HR,G7,51240,122480,Full-Time,Auto-generated description for Job 62
J0063,Job Title 63,Finance,G8,51260,122520,Full-Time,Auto-generated description for Job 63
J0064,Job Title 64,Operations,G9,51280,122560,Full-Time,Auto-generated description for Job 64
J0065,Job Title 65,Marketing,G5,51300,122600,Contract,Auto-generated description for Job 65
J0066,Job Title 66,Engineering,G6,51320,122640,Contract,Auto-generated description for Job 66
J0067,Job Title 67,IT,G7,51340,122680,Full-Time,Auto-generated description for Job 67
J0068,Job Title 68,HR,G8,51360,122720,Full-Time,Auto-generated description for Job 68
J0069,Job Title 69,Finance,G9,51380,122760,Full-Time,Auto-generated description for Job 69
J0070,Job Title 70,Operations,G5,51400,122800,Full-Time,Auto-generated description for Job 70
J0071,Job Title 71,Marketing,G6,51420,122840,Full-Time,Auto-generated description for Job 71
J0072,Job Title 72,Engineering,G7,51440,122880,Contract,Auto-generated description for Job 72
J0073,Job Title 73,IT,G8,51460,122920,Contract,Auto-generated description for Job 73
J0074,Job Title 74,HR,G9,51480,122960,Full-Time,Auto-generated description for Job 74
J0075,Job Title 75,Finance,G5,51500,123000,Full-Time,Auto-generated description for Job 75
J0076,Job Title 76,Operations,G6,51520,123040,Full-Time,Auto-generated description for Job 76
J0077,Job Title 77,Marketing,G7,51540,123080,Contract,Auto-generated description for Job 77
J0078,Job Title 78,Engineering,G8,51560,123120,Full-Time,Auto-generated description for Job 78
J0079,Job Title 79,IT,G9,51580,123160,Full-Time,Auto-generated description for Job 79
J0080,Job Title 80,HR,G5,51600,123200,Full-Time,Auto-generated description for Job 80
J0081,Job Title 81,Finance,G6,51620,123240,Full-Time,Auto-generated description for Job 81
J0082,Job Title 82,Operations,G7,51640,123280,Full-Time,Auto-generated description for Job 82
J0083,Job Title 83,Marketing,G8,51660,123320,Full-Time,Auto-generated description for Job 83
J0084,Job Title 84,Engineering,G9,51680,123360,Contract,Auto-generated description for Job 84
J0085,Job Title 85,IT,G5,51700,123400,Full-Time,Auto-generated description for Job 85
J0086,Job Title 86,HR,G6,51720,123440,Full-Time,Auto-generated description for Job 86
J0087,Job Title 87,Finance,G7,51740,123480,Contract,Auto-generated description for Job 87
J0088,Job Title 88,Operations,G8,51760,123520,Full-Time,Auto-generated description for Job 88
J0089,Job Title 89,Marketing,G9,51780,123560,Full-Time,Auto-generated description for Job 89
J0090,Job Title 90,Engineering,G5,51800,123600,Full-Time,Auto-generated description for Job 90
J0091,Job Title 91,IT,G6,51820,123640,Full-Time,Auto-generated description for Job 91
J0092,Job Title 92,HR,G7,51840,123680,Full-Time,Auto-generated description for Job 92
J0093,Job Title 93,Finance,G8,51860,123720,Contract,Auto-generated description for Job 93
J0094,Job Title 94,Operations,G9,51880,123760,Full-Time,Auto-generated description for Job 94
J0095,Job Title 95,Marketing,G5,51900,123800,Full-Time,Auto-generated description for Job 95
J0096,Job Title 96,Engineering,G6,51920,123840,Full-Time,Auto-generated description for Job 96
J0097,Job Title 97,IT,G7,51940,123880,Contract,Auto-generated description for Job 97
J0098,Job Title 98,HR,G8,51960,123920,Full-Time,Auto-generated description for Job 98
J0099,Job Title 99,Finance,G9,51980,123960,Contract,Auto-generated description for Job 99
J0100,Job Title 100,Operations,G5,52000,124000,Contract,Auto-generated description for Job 100
J0101,Job Title 101,Marketing,G6,52020,124040,Full-Time,Auto-generated description for Job 101
J0102,Job Title 102,Engineering,G7,52040,124080,Contract,Auto-generated description for Job 102
J0103,Job Title 103,IT,G8,52060,124120,Full-Time,Auto-generated description for Job 103
J0104,Job Title 104,HR,G9,52080,124160,Full-Time,Auto-generated description for Job 104
J0105,Job Title 105,Finance,G5,52100,124200,Full-Time,Auto-generated description for Job 105
J0106,Job Title 106,Operations,G6,52120,124240,Full-Time,Auto-generated description for Job 106
J0107,Job Title 107,Marketing,G7,52140,124280,Full-Time,Auto-generated description for Job 107
J0108,Job Title 108,Engineering,G8,52160,124320,Full-Time,Auto-generated description for Job 108
J0109,Job Title 109,IT,G9,52180,124360,Full-Time,Auto-generated description for Job 109
J0110,Job Title 110,HR,G5,52200,124400,Contract,Auto-generated description for Job 110
J0111,Job Title 111,Finance,G6,52220,124440,Contract,Auto-generated description for Job 111
J0112,Job Title 112,Operations,G7,52240,124480,Full-Time,Auto-generated description for Job 112
J0113,Job Title 113,Marketing,G8,52260,124520,Full-Time,Auto-generated description for Job 113
J0114,Job Title 114,Engineering,G9,52280,124560,Full-Time,Auto-generated description for Job 114
J0115,Job Title 115,IT,G5,52300,124600,Contract,Auto-generated description for Job 115
J0116,Job Title 116,HR,G6,52320,124640,Contract,Auto-generated description for Job 116
J0117,Job Title 117,Finance,G7,52340,124680,Full-Time,Auto-generated description for Job 117
J0118,Job Title 118,Operations,G8,52360,124720,Full-Time,Auto-generated description for Job 118
J0119,Job Title 119,Marketing,G9,52380,124760,Full-Time,Auto-generated description for Job 119
J0120,Job Title 120,Engineering,G5,52400,124800,Full-Time,Auto-generated description for Job 120
