locationId,officeName,city,state,country,region,timezone,postalCode,latitude,longitude
L0001,Office-1,City-1,State-1,USA,NA,America/New_York,10001,48.12554,46.968952
L0002,Office-2,City-2,State-2,UK,EMEA,Europe/London,10002,48.931324,46.517684
L0003,Office-3,City-3,State-3,Germany,Global,Europe/Berlin,10003,10.028595,36.207803
L0004,Office-4,City-4,State-4,Singapore,EMEA,Asia/Singapore,10004,10.973837,66.454931
L0005,Office-5,City-5,State-5,India,APAC,Asia/Kolkata,10005,53.936094,61.583276
L0006,Office-6,City-6,State-6,USA,NA,America/New_York,10006,25.375706,22.896258
L0007,Office-7,City-7,State-7,UK,EMEA,Europe/London,10007,53.90048,67.347472
L0008,Office-8,City-8,State-8,Germany,Global,Europe/Berlin,10008,14.282673,44.299523
L0009,Office-9,City-9,State-9,Singapore,EMEA,Asia/Singapore,10009,13.460626,58.030108
L0010,Office-10,City-10,State-10,India,APAC,Asia/Kolkata,10010,48.291721,26.419573
L0011,Office-11,City-11,State-11,USA,NA,America/New_York,10011,33.764119,47.49018
L0012,Office-12,City-12,State-12,UK,EMEA,Europe/London,10012,23.252831,63.621652
L0013,Office-13,City-13,State-13,Germany,Global,Europe/Berlin,10013,31.156897,30.58991
L0014,Office-14,City-14,State-14,Singapore,EMEA,Asia/Singapore,10014,36.964804,56.496553
L0015,Office-15,City-15,State-15,India,APAC,Asia/Kolkata,10015,20.057553,35.585815
L0016,Office-16,City-16,State-16,USA,NA,America/New_York,10016,59.757468,52.493903
L0017,Office-17,City-17,State-17,UK,EMEA,Europe/London,10017,31.905004,45.878792
L0018,Office-18,City-18,State-18,Germany,Global,Europe/Berlin,10018,16.05021,31.234867
L0019,Office-19,City-19,State-19,Singapore,EMEA,Asia/Singapore,10019,26.904278,49.415436
L0020,Office-20,City-20,State-20,India,APAC,Asia/Kolkata,10020,21.505737,31.010869
L0021,Office-21,City-21,State-21,USA,NA,America/New_York,10021,13.549654,51.555148
L0022,Office-22,City-22,State-22,UK,EMEA,Europe/London,10022,21.447089,65.271001
L0023,Office-23,City-23,State-23,Germany,Global,Europe/Berlin,10023,52.98177,23.542867
L0024,Office-24,City-24,State-24,Singapore,EMEA,Asia/Singapore,10024,21.900232,53.448889
L0025,Office-25,City-25,State-25,India,APAC,Asia/Kolkata,10025,20.71184,26.615592
L0026,Office-26,City-26,State-26,USA,NA,America/New_York,10026,56.775712,48.552155
L0027,Office-27,City-27,State-27,UK,EMEA,Europe/London,10027,33.633551,59.230971
L0028,Office-28,City-28,State-28,Germany,Global,Europe/Berlin,10028,50.37485,29.520496
L0029,Office-29,City-29,State-29,Singapore,EMEA,Asia/Singapore,10029,14.846541,41.552559
L0030,Office-30,City-30,State-30,India,APAC,Asia/Kolkata,10030,31.178931,43.351233
L0031,Office-31,City-31,State-31,USA,NA,America/New_York,10031,46.453792,53.668227
L0032,Office-32,City-32,State-32,UK,EMEA,Europe/London,10032,59.208261,24.920894
L0033,Office-33,City-33,State-33,Germany,Global,Europe/Berlin,10033,30.131064,36.96513
L0034,Office-34,City-34,State-34,Singapore,EMEA,Asia/Singapore,10034,53.083627,32.432817
L0035,Office-35,City-35,State-35,India,APAC,Asia/Kolkata,10035,19.510445,42.430677
L0036,Office-36,City-36,State-36,USA,NA,America/New_York,10036,31.094082,33.927257
L0037,Office-37,City-37,State-37,UK,EMEA,Europe/London,10037,22.490322,66.16328
L0038,Office-38,City-38,State-38,Germany,Global,Europe/Berlin,10038,32.156537,63.067455
L0039,Office-39,City-39,State-39,Singapore,EMEA,Asia/Singapore,10039,37.516266,22.529416
L0040,Office-40,City-40,State-40,India,APAC,Asia/Kolkata,10040,59.964123,61.801379
L0041,Office-41,City-41,State-41,USA,NA,America/New_York,10041,58.449813,66.318349
L0042,Office-42,City-42,State-42,UK,EMEA,Europe/London,10042,52.434787,28.315556
L0043,Office-43,City-43,State-43,Germany,Global,Europe/Berlin,10043,34.282056,30.687365
L0044,Office-44,City-44,State-44,Singapore,EMEA,Asia/Singapore,10044,30.052015,22.93177
L0045,Office-45,City-45,State-45,India,APAC,Asia/Kolkata,10045,28.948656,69.265442
L0046,Office-46,City-46,State-46,USA,NA,America/New_York,10046,23.260153,59.20353
L0047,Office-47,City-47,State-47,UK,EMEA,Europe/London,10047,32.750418,41.150374
L0048,Office-48,City-48,State-48,Germany,Global,Europe/Berlin,10048,57.865882,69.771134
L0049,Office-49,City-49,State-49,Singapore,EMEA,Asia/Singapore,10049,37.788416,55.920414
L0050,Office-50,City-50,State-50,India,APAC,Asia/Kolkata,10050,17.739841,34.835391
L0051,Office-51,City-51,State-51,USA,NA,America/New_York,10051,58.435468,48.959015
L0052,Office-52,City-52,State-52,UK,EMEA,Europe/London,10052,37.10976,57.398778
L0053,Office-53,City-53,State-53,Germany,Global,Europe/Berlin,10053,12.858264,49.20888
L0054,Office-54,City-54,State-54,Singapore,EMEA,Asia/Singapore,10054,35.142519,62.635995
L0055,Office-55,City-55,State-55,India,APAC,Asia/Kolkata,10055,17.871636,68.038945
L0056,Office-56,City-56,State-56,USA,NA,America/New_York,10056,14.005573,29.291248
L0057,Office-57,City-57,State-57,UK,EMEA,Europe/London,10057,39.751755,53.760628
L0058,Office-58,City-58,State-58,Germany,Global,Europe/Berlin,10058,21.760195,25.994331
L0059,Office-59,City-59,State-59,Singapore,EMEA,Asia/Singapore,10059,54.514366,32.310767
L0060,Office-60,City-60,State-60,India,APAC,Asia/Kolkata,10060,39.725958,50.969076
L0061,Office-61,City-61,State-61,USA,NA,America/New_York,10061,30.961246,49.183614
L0062,Office-62,City-62,State-62,UK,EMEA,Europe/London,10062,36.139136,66.735313
L0063,Office-63,City-63,State-63,Germany,Global,Europe/Berlin,10063,20.21296,55.80959
L0064,Office-64,City-64,State-64,Singapore,EMEA,Asia/Singapore,10064,21.934298,39.789292
L0065,Office-65,City-65,State-65,India,APAC,Asia/Kolkata,10065,43.584511,34.999854
L0066,Office-66,City-66,State-66,USA,NA,America/New_York,10066,25.80886,57.593225
L0067,Office-67,City-67,State-67,UK,EMEA,Europe/London,10067,13.627156,42.914276
L0068,Office-68,City-68,State-68,Germany,Global,Europe/Berlin,10068,59.922722,69.804822
L0069,Office-69,City-69,State-69,Singapore,EMEA,Asia/Singapore,10069,13.663036,30.657716
L0070,Office-70,City-70,State-70,India,APAC,Asia/Kolkata,10070,23.260021,66.662969
L0071,Office-71,City-71,State-71,USA,NA,America/New_York,10071,54.043209,63.963512
L0072,Office-72,City-72,State-72,UK,EMEA,Europe/London,10072,28.476354,27.887342
L0073,Office-73,City-73,State-73,Germany,Global,Europe/Berlin,10073,51.687248,55.176996
L0074,Office-74,City-74,State-74,Singapore,EMEA,Asia/Singapore,10074,40.583888,69.361653
L0075,Office-75,City-75,State-75,India,APAC,Asia/Kolkata,10075,42.698816,20.391155
L0076,Office-76,City-76,State-76,USA,NA,America/New_York,10076,50.855207,34.968938
L0077,Office-77,City-77,State-77,UK,EMEA,Europe/London,10077,43.169436,66.9465
L0078,Office-78,City-78,State-78,Germany,Global,Europe/Berlin,10078,16.714556,25.771434
L0079,Office-79,City-79,State-79,Singapore,EMEA,Asia/Singapore,10079,15.351799,47.661182
L0080,Office-80,City-80,State-80,India,APAC,Asia/Kolkata,10080,23.617411,50.241491
